match no,runs,NotOut,mins,bf,fours,sixes,sr,Inns,Opp,Ground,Date
24,0,0,3,0,0,0,-,1,Zimbabwe,Bulawayo,28-May-10
25,82,0,125,92,4,0,89.13,2,Sri Lanka,Bulawayo,30-May-10
26,18,0,28,29,1,0,62.06,1,Zimbabwe,Harare,03-Jun-10
27,68,0,123,95,5,0,71.57,1,Sri Lanka,Harare,05-Jun-10
28,11,0,35,22,0,0,50,2,Bangladesh,Dambulla,16-Jun-10
29,18,0,31,27,1,0,66.66,2,Pakistan,Dambulla,19-Jun-10
30,10,0,13,14,1,0,71.42,1,Sri Lanka,Dambulla,22-Jun-10
31,28,0,57,34,4,0,82.35,1,Sri Lanka,Dambulla,24-Jun-10
32,0,0,5,3,0,0,0,2,Sri Lanka,Dambulla,16-Aug-10
33,8,0,22,16,1,0,50,1,New Zealand,Dambulla,25-Aug-10
34,37,0,98,57,5,0,64.91,2,Sri Lanka,Dambulla,28-Aug-10
35,118,0,193,121,11,1,97.52,2,Australia,Visakhapatnam,20-Oct-10
36,105,0,162,104,10,0,100.96,1,New Zealand,Guwahati,28-Nov-10
37,64,0,78,73,8,0,87.67,2,New Zealand,Jaipur,01-Dec-10
38,63,1,83,70,6,2,90,2,New Zealand,Vadodara,04-Dec-10
39,0,0,3,2,0,0,0,2,New Zealand,Bengaluru,07-Dec-10
40,2,0,10,8,0,0,25,2,New Zealand,Chennai,10-Dec-10
41,54,0,122,70,2,1,77.14,2,South Africa,Durban,12-Jan-11
42,22,0,43,34,1,0,64.7,1,South Africa,Johannesburg,15-Jan-11
43,28,0,51,41,5,0,68.29,2,South Africa,Cape Town,18-Jan-11
44,87,1,126,92,7,2,94.56,2,South Africa,Port Elizabeth,21-Jan-11
45,2,0,11,6,0,0,33.33,2,South Africa,Centurion,23-Jan-11
46,100,1,113,83,8,2,120.48,1,Bangladesh,Dhaka,19-Feb-11
47,8,0,12,5,1,0,160,1,England,Bengaluru,27-Feb-11
48,34,0,82,53,3,0,64.15,2,Ireland,Bengaluru,06-Mar-11
